sentiment,text,clean_tweet,tweet_len,pos_percent,neg_percent,predicted_sentiment_score
positive,"RT @cutedejun: sm not letting xiaojun go for his graduation nor his brother's wedding last year is my villain origin story, he's too nice t…",rt  sm not letting xiaojun go for his graduation nor his brothers wedding last year is my villain origin story hes too nice t,24,0.041666666666666664,0.0,positive
neutral,RT @MdBreathe: Here’s the man to thank for getting this march organized today…. Matt Tune @matthewtune - an @nbc exec who can’t go to his d…,rt  heres the man to thank for getting this march organized today matt tune   an  exec who cant go to his d,22,0.045454545454545456,0.0,positive
negative,RT @mainintrovert: Aww nagtampo puro raw ako #KDLex. Sorry Rui. 🥺 Study time muna at cuddle with you. \n\n@alexailacad and @kdestrada_ are in…,rt  aww nagtampo puro raw ako kdlex sorry rui  study time muna at cuddle with you nn and  are in,20,0.0,0.05,negative
negative,RT @devinisasleep: Lexi bout to be giving that graduation speech to an empty echoing ass arena she the only one making it outta that school,rt  lexi bout to be giving that graduation speech to an empty echoing ass arena she the only one making it outta that school,24,0.0,0.0,neutral
neutral,RT @MdBreathe: Here’s the man to thank for getting this march organized today…. Matt Tune @matthewtune - an @nbc exec who can’t go to his d…,rt  heres the man to thank for getting this march organized today matt tune   an  exec who cant go to his d,22,0.045454545454545456,0.0,positive
positive,Jen spent time on Facebook. She enjoyed learning about social media post times &amp; follower growth. She is a marketin… https://t.co/Tfeq7SPMaY,jen spent time on facebook she enjoyed learning about social media post times amp follower growth she is a marketin,20,0.05,0.0,positive
neutral,@ShesVitriolic Looks like a graduation cap.,looks like a graduation cap,5,0.2,0.0,positive
neutral,RT @MdBreathe: Here’s the man to thank for getting this march organized today…. Matt Tune @matthewtune - an @nbc exec who can’t go to his d…,rt  heres the man to thank for getting this march organized today matt tune   an  exec who cant go to his d,22,0.045454545454545456,0.0,positive
negative,"@Marcheline3Di For me, it was spent recovering from an all-nighter I spent on music projects related to a VTuber's… https://t.co/HQ3LEAH1aF",for me it was spent recovering from an allnighter i spent on music projects related to a vtubers,18,0.0,0.0,neutral
neutral,"RT @msrgriffith: When I graduated in grade 8, our school custodian attended to give me a graduation present. I still have it and I never fo…",rt  when i graduated in grade  our school custodian attended to give me a graduation present i still have it and i never fo,24,0.0,0.0,neutral
neutral,RT @MdBreathe: Here’s the man to thank for getting this march organized today…. Matt Tune @matthewtune - an @nbc exec who can’t go to his d…,rt  heres the man to thank for getting this march organized today matt tune   an  exec who cant go to his d,22,0.045454545454545456,0.0,positive
neutral,RT @aboyobbhuyan: Assam: Nomenclature of ‘Graduate Teacher’ and ‘Post-Graduate Teacher’ will be abolished.\n\nAll teachers will be referred t…,rt  assam nomenclature of graduate teacher and postgraduate teacher will be abolishednnall teachers will be referred t,17,0.0,0.0,neutral
positive,RT @rajaesiesta: 349. Happy graduation https://t.co/wNNmEjDVIX,rt   happy graduation,3,0.3333333333333333,0.0,positive
neutral,RT @MdBreathe: Here’s the man to thank for getting this march organized today…. Matt Tune @matthewtune - an @nbc exec who can’t go to his d…,rt  heres the man to thank for getting this march organized today matt tune   an  exec who cant go to his d,22,0.045454545454545456,0.0,positive
neutral,RT @MdBreathe: Here’s the man to thank for getting this march organized today…. Matt Tune @matthewtune - an @nbc exec who can’t go to his d…,rt  heres the man to thank for getting this march organized today matt tune   an  exec who cant go to his d,22,0.045454545454545456,0.0,positive
negative,RT @mainintrovert: Aww nagtampo puro raw ako #KDLex. Sorry Rui. 🥺 Study time muna at cuddle with you. \n\n@alexailacad and @kdestrada_ are in…,rt  aww nagtampo puro raw ako kdlex sorry rui  study time muna at cuddle with you nn and  are in,20,0.0,0.05,negative
positive,All but decided I'm going to Hawaii for my graduation trip. Yippee. 2 nights at Disney Aulani since I can't really… https://t.co/8n8RkBduxK,all but decided im going to hawaii for my graduation trip yippee  nights at disney aulani since i cant really,20,0.0,0.0,neutral
neutral,GISELLE SELFIE GRADUATION 🎓 https://t.co/UaHyumrZik,giselle selfie graduation,3,0.0,0.0,neutral
negative,RT @devinisasleep: Lexi bout to be giving that graduation speech to an empty echoing ass arena she the only one making it outta that school,rt  lexi bout to be giving that graduation speech to an empty echoing ass arena she the only one making it outta that school,24,0.0,0.0,neutral
positive,"@kimberlyxsays @USC_FB no? We lost like 30 guys to portal/draft/graduation, lol",no we lost like  guys to portaldraftgraduation lol,8,0.125,0.125,neutral
neutral,RT @MdBreathe: Here’s the man to thank for getting this march organized today…. Matt Tune @matthewtune - an @nbc exec who can’t go to his d…,rt  heres the man to thank for getting this march organized today matt tune   an  exec who cant go to his d,22,0.045454545454545456,0.0,positive
positive,RT @seongminbliss: 🐶: at the graduation ceremony\n🐶: i shouldve worn school uniform\n🐶: thats right\n🐶: i just wore my favourite coat\n🐶: i tho…,rt   at the graduation ceremonyn i shouldve worn school uniformn thats rightn i just wore my favourite coatn i tho,20,0.0,0.05,negative
neutral,@exampuroficial According 13.1इसमें क्लियर लिखा है cbt1 का स्तर पद मे दी गई योग्यता के हिसाब से होगा \nतो फिर gradua… https://t.co/A26lmo4Jp3,according     cbt            n  gradua,4,0.0,0.0,neutral
neutral,RT @48RequestHour: Preview of some of Kato Rena’s upcoming Graduation Goods! The video has Renacchi posing in various AKB48 Isshous from di…,rt  preview of some of kato renas upcoming graduation goods the video has renacchi posing in various akb isshous from di,21,0.0,0.0,neutral
negative,"I have an irl friend here on Twitter, a college close friend, ( hi there, mhega)  and we only message each other du… https://t.co/IQKJ6X77w8",i have an irl friend here on twitter a college close friend  hi there mhega  and we only message each other du,22,0.0,0.0,neutral
neutral,"RT @Asa_Jikwana: Last day apha kule Office😊ndiyivune yonke igadi\nMy graduation is in 3 months, so uthe uMakhulu soyigcina lemali ndithenge…",rt  last day apha kule officendiyivune yonke igadinmy graduation is in  months so uthe umakhulu soyigcina lemali ndithenge,18,0.0,0.0,neutral
neutral,"RT @chspuck: Senior Sunday🏒🥅🚨Josh Mohl\nNickname: Mohly, Parents: Troy &amp; Brenda Mohl, Hockey #: 23, Position: Forward, Sports and activities…",rt  senior sundayjosh mohlnnickname mohly parents troy amp brenda mohl hockey   position forward sports and activities,16,0.0,0.0,neutral
positive,Hoy AMA pakyu ka bigay mo na Form 137 namin for JHS panira ka sa graduation eh! Hahahaha,hoy ama pakyu ka bigay mo na form  namin for jhs panira ka sa graduation eh hahahaha,17,0.0,0.0,neutral
neutral,RT @MdBreathe: Here’s the man to thank for getting this march organized today…. Matt Tune @matthewtune - an @nbc exec who can’t go to his d…,rt  heres the man to thank for getting this march organized today matt tune   an  exec who cant go to his d,22,0.045454545454545456,0.0,positive
neutral,@khansiroffical0 @RailMinIndia @PMOIndia According 13.1 इसमें क्लियर लिखा है cbt1 का स्तर पद मे दी गई योग्यता के हि… https://t.co/WZYhB0rmtv,according      cbt,2,0.0,0.0,neutral
